borrow_id,book_id,user_id,borrow_date,status,borrow_type
EX3-0001,24,4,2026-09-26 12:49:00,Đang mượn,Mượn về nhà
EX3-0002,10,8,2026-09-03 13:52:00,Đang mượn,Mượn về nhà
EX3-0003,7,4,2026-09-25 10:19:00,Đang mượn,Mượn về nhà
EX3-0004,6,6,2026-09-12 09:23:00,Đang mượn,Mượn về nhà
EX3-0005,9,23,2026-09-04 16:45:00,Đã trả,Mượn về nhà
EX3-0006,19,9,2026-09-13 14:43:00,Đã trả,Mượn về nhà
EX3-0007,2,14,2026-09-26 17:14:00,Đã trả,Mượn về nhà
EX3-0008,25,14,2026-09-02 13:43:00,Đã trả,Mượn về nhà
EX3-0009,7,12,2026-09-28 11:52:00,Đã trả,Mượn về nhà
EX3-0010,23,5,2026-09-11 09:01:00,Đã trả,Mượn về nhà
EX3-0011,13,4,2026-09-22 13:14:00,Đã trả,Mượn về nhà
EX3-0012,35,7,2026-09-12 09:58:00,Đang mượn,Mượn về nhà
EX3-0013,28,10,2026-09-27 08:49:00,Đã trả,Mượn về nhà
EX3-0014,18,6,2026-09-17 13:34:00,Đã trả,Mượn về nhà
EX3-0015,9,24,2026-09-01 12:36:00,Đã trả,Mượn về nhà
EX3-0016,26,20,2026-09-09 08:37:00,Đang mượn,Mượn về nhà
EX3-0017,2,21,2026-09-20 10:19:00,Đã trả,Mượn về nhà
EX3-0018,3,1,2026-09-25 15:28:00,Đã trả,Mượn về nhà
EX3-0019,5,2,2026-09-15 10:57:00,Đang mượn,Mượn về nhà
EX3-0020,2,24,2026-09-08 16:19:00,Đã trả,Mượn về nhà
EX3-0021,42,11,2026-09-14 10:59:00,Đã trả,Mượn về nhà
EX3-0022,6,12,2026-09-19 15:31:00,Đang mượn,Mượn về nhà
EX3-0023,31,24,2026-09-21 10:11:00,Đang mượn,Mượn về nhà
EX3-0024,4,12,2026-09-21 13:59:00,Đã trả,Mượn về nhà
EX3-0025,10,12,2026-09-28 14:33:00,Đang mượn,Mượn về nhà
EX3-0026,3,16,2026-09-05 10:14:00,Đã trả,Mượn về nhà
EX3-0027,48,12,2026-09-12 16:45:00,Đã trả,Mượn về nhà
EX3-0028,45,13,2026-09-02 09:37:00,Đã trả,Mượn về nhà
EX3-0029,13,17,2026-09-26 14:14:00,Đã trả,Mượn về nhà
EX3-0030,19,11,2026-09-27 17:33:00,Đã trả,Mượn về nhà
EX3-0031,4,2,2026-09-01 10:05:00,Đang mượn,Mượn về nhà
EX3-0032,41,1,2026-09-24 09:19:00,Đã trả,Mượn về nhà
EX3-0033,12,19,2026-09-08 08:04:00,Đang mượn,Mượn về nhà
EX3-0034,10,18,2026-09-14 09:25:00,Đã trả,Mượn về nhà
EX3-0035,9,6,2026-09-20 08:55:00,Đang mượn,Mượn về nhà
EX3-0036,34,9,2026-09-25 08:04:00,Đã trả,Mượn về nhà
EX3-0037,50,19,2026-09-01 14:54:00,Đang mượn,Mượn về nhà
EX3-0038,9,10,2026-09-24 15:50:00,Đã trả,Mượn về nhà
EX3-0039,43,16,2026-09-22 10:06:00,Đang mượn,Mượn về nhà
EX3-0040,44,8,2026-09-01 11:20:00,Đang mượn,Mượn về nhà
EX3-0041,9,3,2026-09-04 14:24:00,Đã trả,Mượn về nhà
EX3-0042,2,22,2026-09-01 08:05:00,Đã trả,Mượn về nhà
EX3-0043,9,9,2026-09-13 13:39:00,Đang mượn,Mượn về nhà
EX3-0044,7,11,2026-09-24 17:36:00,Đang mượn,Mượn về nhà
EX3-0045,32,15,2026-09-18 11:11:00,Đang mượn,Mượn về nhà
EX3-0046,26,4,2026-09-05 15:58:00,Đang mượn,Mượn về nhà
EX3-0047,8,18,2026-09-10 15:29:00,Đang mượn,Mượn về nhà
EX3-0048,8,23,2026-09-21 17:36:00,Đang mượn,Mượn về nhà
EX3-0049,40,3,2026-09-07 15:49:00,Đã trả,Mượn về nhà
EX3-0050,5,11,2026-09-01 13:50:00,Đã trả,Mượn về nhà
EX3-0051,9,16,2026-09-07 14:38:00,Đã trả,Mượn về nhà
EX3-0052,40,16,2026-09-08 14:00:00,Đã trả,Mượn về nhà
EX3-0053,2,3,2026-09-25 12:06:00,Đang mượn,Mượn về nhà
EX3-0054,7,12,2026-09-15 14:20:00,Đã trả,Mượn về nhà
EX3-0055,11,8,2026-09-19 15:34:00,Đã trả,Mượn về nhà
EX3-0056,45,4,2026-09-27 11:46:00,Đã trả,Mượn về nhà
EX3-0057,13,18,2026-09-08 16:14:00,Đã trả,Mượn về nhà
EX3-0058,6,11,2026-09-11 10:19:00,Đang mượn,Mượn về nhà
EX3-0059,22,10,2026-09-16 14:52:00,Đang mượn,Mượn về nhà
EX3-0060,3,13,2026-09-25 12:31:00,Đang mượn,Mượn về nhà
EX3-0061,47,18,2026-09-20 09:25:00,Đang mượn,Mượn về nhà
EX3-0062,2,16,2026-09-15 14:09:00,Đã trả,Mượn về nhà
EX3-0063,7,23,2026-09-02 17:24:00,Đang mượn,Mượn về nhà
EX3-0064,22,14,2026-09-10 09:22:00,Đang mượn,Mượn về nhà
EX3-0065,24,8,2026-09-12 15:03:00,Đang mượn,Mượn về nhà
