borrow_id,book_id,user_id,borrow_date,status,borrow_type
EX2-0001,13,17,2026-08-24 12:03:00,Đã trả,Đọc tại chỗ
EX2-0002,12,5,2026-08-08 08:04:00,Đã trả,Đọc tại chỗ
EX2-0003,12,1,2026-08-10 17:22:00,Đã trả,Mượn về nhà
EX2-0004,40,1,2026-08-08 11:13:00,Đã trả,Đọc tại chỗ
EX2-0005,47,6,2026-08-15 14:34:00,Đã trả,Mượn về nhà
EX2-0006,5,14,2026-08-13 10:04:00,Đã trả,Mượn về nhà
EX2-0007,1,7,2026-08-10 10:39:00,Đã trả,Đọc tại chỗ
EX2-0008,7,9,2026-08-14 11:41:00,Đã trả,Đọc tại chỗ
EX2-0009,32,7,2026-08-03 14:54:00,Đã trả,Đọc tại chỗ
EX2-0010,8,6,2026-08-20 15:17:00,Đã trả,Đọc tại chỗ
EX2-0011,13,13,2026-08-06 08:14:00,Đã trả,Mượn về nhà
EX2-0012,15,2,2026-08-02 13:37:00,Đã trả,Mượn về nhà
EX2-0013,17,20,2026-08-05 16:08:00,Đã trả,Đọc tại chỗ
EX2-0014,11,18,2026-08-19 12:54:00,Đã trả,Mượn về nhà
EX2-0015,5,20,2026-08-29 10:47:00,Đã trả,Đọc tại chỗ
EX2-0016,50,17,2026-08-28 08:06:00,Đã trả,Đọc tại chỗ
EX2-0017,41,8,2026-08-26 11:35:00,Đã trả,Đọc tại chỗ
EX2-0018,48,15,2026-08-31 10:11:00,Đã trả,Mượn về nhà
EX2-0019,5,17,2026-08-20 15:19:00,Đã trả,Đọc tại chỗ
EX2-0020,4,1,2026-08-10 08:17:00,Đã trả,Đọc tại chỗ
EX2-0021,16,4,2026-08-17 10:06:00,Đã trả,Đọc tại chỗ
EX2-0022,27,7,2026-08-05 14:07:00,Đã trả,Mượn về nhà
EX2-0023,7,3,2026-08-10 10:46:00,Đã trả,Đọc tại chỗ
EX2-0024,13,3,2026-08-25 12:15:00,Đã trả,Mượn về nhà
EX2-0025,3,10,2026-08-18 15:02:00,Đã trả,Đọc tại chỗ
EX2-0026,41,10,2026-08-16 09:05:00,Đã trả,Mượn về nhà
EX2-0027,13,3,2026-08-25 08:36:00,Đã trả,Mượn về nhà
EX2-0028,3,3,2026-08-23 13:43:00,Đã trả,Đọc tại chỗ
EX2-0029,14,20,2026-08-05 11:26:00,Đã trả,Mượn về nhà
EX2-0030,12,12,2026-08-21 10:11:00,Đã trả,Đọc tại chỗ
EX2-0031,28,9,2026-08-18 11:15:00,Đã trả,Đọc tại chỗ
EX2-0032,2,8,2026-08-23 10:05:00,Đã trả,Đọc tại chỗ
EX2-0033,13,17,2026-08-31 16:16:00,Đã trả,Mượn về nhà
EX2-0034,8,18,2026-08-13 08:54:00,Đã trả,Đọc tại chỗ
EX2-0035,27,1,2026-08-07 15:38:00,Đã trả,Đọc tại chỗ
EX2-0036,48,1,2026-08-12 09:35:00,Đã trả,Đọc tại chỗ
EX2-0037,40,16,2026-08-31 15:31:00,Đã trả,Mượn về nhà
EX2-0038,10,14,2026-08-07 13:39:00,Đã trả,Mượn về nhà
EX2-0039,22,19,2026-08-18 10:19:00,Đã trả,Đọc tại chỗ
EX2-0040,2,2,2026-08-31 15:10:00,Đã trả,Mượn về nhà
EX2-0041,9,9,2026-08-16 14:48:00,Đã trả,Đọc tại chỗ
EX2-0042,34,12,2026-08-16 08:11:00,Đã trả,Đọc tại chỗ
EX2-0043,13,1,2026-08-27 09:46:00,Đã trả,Đọc tại chỗ
EX2-0044,43,7,2026-08-15 14:44:00,Đã trả,Mượn về nhà
EX2-0045,27,17,2026-08-02 11:30:00,Đã trả,Đọc tại chỗ
EX2-0046,13,2,2026-08-21 13:45:00,Đã trả,Mượn về nhà
EX2-0047,9,6,2026-08-28 12:38:00,Đã trả,Đọc tại chỗ
EX2-0048,28,13,2026-08-06 17:28:00,Đã trả,Đọc tại chỗ
EX2-0049,10,11,2026-08-07 13:22:00,Đã trả,Đọc tại chỗ
EX2-0050,1,3,2026-08-28 12:48:00,Đã trả,Đọc tại chỗ
EX2-0051,28,8,2026-08-12 11:16:00,Đã trả,Đọc tại chỗ
EX2-0052,12,13,2026-08-28 08:02:00,Đã trả,Đọc tại chỗ
EX2-0053,49,14,2026-08-12 08:17:00,Đã trả,Đọc tại chỗ
EX2-0054,8,16,2026-08-18 16:30:00,Đã trả,Mượn về nhà
